id;name;region_id;address;postcode;telephone;email;website;name_en
129;Κέντρο Υγείας Ευδήλου;33;Ευδηλος;83302;2275033030;;;Health Center of Efdilos
130;Κέντρο Υγείας Θήρας;39;Φηρά - Θήρας Κυκλάδων ;84700;2286360300;hc.thira@vardakeio.gr;;Health Center of Thiras
131;Κέντρο Υγείας Ίου;39;Ίος;84001;2286360000;hc.ios@vardakeio.gr;;Health Center of Ios
132;Κέντρο Υγείας Καλλόνης;32;Καλλονή;81107;2253022222;kykall@otenet.gr;;Health Center of Kallonis
133;Κέντρο Υγείας Καρλοβάσσου;33;Καρλόβασι Σάμου;83200;2273352000;grprosopikoukyk@gmail.com;;Health Center of Karlovassi
134;Κέντρο Υγείας Καρπάθου;40;Πηγάδια, Κάρπαθος Δωδεκανήσου;85700;2245022228;dioik_kyk@yahoo.com;;Health Center of Karpathos
135;Κέντρο Υγείας Μεγάρων;1;Μέγαρα Αττικής ;19100;2296022222;megaraky@thriassio-hosp.gr;;Health Center of Megara
136;Κέντρο Υγείας Μήλου;1;Πλάκα;84800;2287360000;hc.milos@vardakeio.gr;;Health Center of Milos
137;Κέντρο Υγείας Μυκόνου;39;Αργύραινα;84600;2289360000;hc.mykonos@vardakeio.gr;;Health Center of Mikonos
138;Κέντρο Υγείας Πάρου;39;Παροικιά;84400;2284360000;hc.paros@vardakeio.gr;;Health Center of Paros
139;Κέντρο Υγείας Πάτμου;40;Πάτμος;85500;2247031211;k.y.patmou@yahoo.gr;;Health Center of Patmos
140;Κέντρο Υγείας Περιστερίου;1;Χρήστου Λαδά 43 και Λάττα,  Περιστέρι;12132;2105748562;kyperisteriou@gmail.com;;Health Center of Peristeri
141;Κέντρο Υγείας Πλωμαρίου;32;Πλωμάρι Λέσβου;81200;2252032151;kentroygeiasplomarioy@yahoo.gr;;Health Center of Plomari
142;Κέντρο Υγείας Πολυχνίτου;32;Πολύχνιτος Λέσβου;83100;2252041111;kypolihnitou@gmail.com;;Health Center of Polihniti
143;Κέντρο Υγείας Πυργίου;31;Πυργί;82102;2271350107;kypyrgi@xios hosp.gr;;Health Center of Pirgos
144;Κέντρο Υγείας Σαλαμίνας;1;Λεωφόρος Φανερωμένης;18900;2132008500;ds.kys@0275.syzefxis.gov.gr;;Health Center of Salamina
145;Κέντρο Υγείας Τήνου;39;Μάρκου Κρικέλη 10;84200;2283360000;hc.tinos@vardakeio.gr;;Health Center of Tinos
146;Κέντρο Ψυχικής Υγείας Αγ. Αναργύρων;1;Ν. Πλαστήρα 123 & Δράμας;13562;2102621260;;;Mental Health Center of Ag. Anrgiri
147;Κέντρο Ψυχικής Υγείας Κορυδαλλού;1;Κων. Παλαιολόγου 3β - Κορυδαλλός (Πλατεία Μέμου);18120;2104944937;mhcntro@otenet.gr;;Mental Health Center of Koridalos
148;Κέντρο Ψυχικής Υγείας Περιστερίου;1;Πλούτωνος 19 και Ηφαίστου 10;12135;2132027800;mhc.peristeri@yahoo.com;;Mental Health Center of Peristeri
149;Κέντρο Ψυχικής Υγείας Σάμου;33;Πλατεία Γρ. Αυξεντίου, Βαθύ Σάμου;83100;2273080953;kpsysamos1@yahoo.gr;;Mental Health Center of Samos
