id;name;region;address;postcode;telephone;email;website
134;Κέντρο Υγείας Καρπάθου;ΚΑΡΠΑΘΟΣ;Πηγάδια, Κάρπαθος Δωδεκανήσου;85700;2245022228;dioik_kyk@yahoo.com;
135;Κέντρο Υγείας Μεγάρων;ΑΤΤΙΚΗ;Μέγαρα Αττικής ;19100;2296022222;megaraky@thriassio-hosp.gr;
136;Κέντρο Υγείας Μήλου;ΜΗΛΟΣ;Πλάκα;84800;2287360000;hc.milos@vardakeio.gr;
137;Κέντρο Υγείας Μυκόνου;ΜΥΚΟΝΟΣ;Αργύραινα;84600;2289360000;hc.mykonos@vardakeio.gr;
138;Κέντρο Υγείας Πάρου;ΠΑΡΟΣ;Παροικιά;84400;2284360000;hc.paros@vardakeio.gr;
139;Κέντρο Υγείας Πάτμου;ΠΑΤΜΟΣ;Πάτμος;85500;2247031211;k.y.patmou@yahoo.gr;
140;Κέντρο Υγείας Περιστερίου;ΑΤΤΙΚΗ;Χρήστου Λαδά 43 και Λάττα,  Περιστέρι;12132;2105748562;kyperisteriou@gmail.com;
141;Κέντρο Υγείας Πλωμαρίου;ΛΕΣΒΟΣ;Πλωμάρι Λέσβου;81200;2252032151;kentroygeiasplomarioy@yahoo.gr ;
142;Κέντρο Υγείας Πολυχνίτου;ΛΕΣΒΟΣ;Πολύχνιτος Λέσβου;83100;2252041111;kypolihnitou@gmail.com;
143;Κέντρο Υγείας Πυργίου;ΧΙΟΣ;Πυργί;82102;2271350107;kypyrgi@xios hosp.gr;
144;Κέντρο Υγείας Σαλαμίνας;ΣΑΛΑΜΙΝΑ;Λεωφόρος Φανερωμένης;18900;2132008500;ds.kys@0275.syzefxis.gov.gr;
145;Κέντρο Υγείας Τήνου;ΤΗΝΟΣ;Μάρκου Κρικέλη 10;84200;2283360000;hc.tinos@vardakeio.gr;
146;Κέντρο Ψυχικής Υγείας Αγ. Αναργύρων;ΑΤΤΙΚΗ;Ν. Πλαστήρα 123 & Δράμας;13562;2102621260;;
147;Κέντρο Ψυχικής Υγείας Κορυδαλλού;ΑΤΤΙΚΗ;Κων. Παλαιολόγου 3β - Κορυδαλλός (Πλατεία Μέμου);18120;2104944937;mhcntro@otenet.gr;
148;Κέντρο Ψυχικής Υγείας Περιστερίου;ΑΤΤΙΚΗ;Πλούτωνος 19 και Ηφαίστου 10;12135;2132027800;mhc.peristeri@yahoo.com;
149;Κέντρο Ψυχικής Υγείας Σάμου;ΣΑΜΟΣ;Πλατεία Γρ. Αυξεντίου, Βαθύ Σάμου;83100;2273080953;kpsysamos1@yahoo.gr;
